 LAMMPS data file for ring polymer of length 200
 
         200 atoms
         201 bonds
 
           2 atom types
           1 bond types
 
 Masses
 
           1   1.00000000    
           2   1.00000000    
 
 Atoms
 
          75           0           1  -1.2152496427094341        2.6460555749544477        1.6134073778748079                0           0           0
          76           0           1 -0.32836156251798299        2.2824790129287598        2.0453766266255955                0           0           0
          77           0           1  0.58227427819750843        2.9013406556830246        1.7645305817587478                0           0           0
          78           0           1   2.2384877832091615E-002   2.7726650120649463        2.5943773569688058                0           0           0
          79           0           1  0.43867260689053872        1.9823723510020110        2.0373788451988162                0           0           0
          80           0           1  0.30516343848635313        1.1464671354700597        2.3282580098333399                0           0           0
          81           0           1 -0.38023291309440599       0.50373106730455752        2.0882999234422464                0           0           0
          82           0           1 -0.23172526965180912       0.84653094008994145        2.9652225468350530                0           0           0
          83           0           1  -1.2355915304066818       0.84465195404394999        3.1096331063468692                0           0           0
          84           0           1  -1.6150176658115798       -2.5421397425613140E-002   2.8661869853701609                0           0           0
          85           0           1  -1.6173308843309768       0.55571143067618511        1.8923646827082263                0           0           0
          86           0           1  -1.9397581681643057      -0.38505740051596771        2.0749104818479647                0           0           0
          87           0           1  -2.3039078014484100       -1.3109757412583081        2.2275390733510361                0           0           0
          88           0           1  -2.7980758229975176      -0.83729541027998178        1.5690109484058437                0           0           0
          89           0           1  -3.3494130369192194       -1.1240784338652846E-002   1.8309974494378258                0           0           0
          90           0           1  -2.6610467127029676       0.58058004111500827        1.8978793998046570                0           0           0
          91           0           1  -2.4890389201188881       0.65809274094001335       0.84524869447446604                0           0           0
          92           0           1  -2.6897243033072611        1.3286890621931606        2.4052318681670251E-002           0           0           0
          93           0           1  -3.5143202370587820        1.4261279335640888       0.46436990626794317                0           0           0
          94           0           1  -3.5970663717425428        1.4137509814808127      -0.50989613104108777                0           0           0
          95           0           1  -3.6111663239591705       0.55019551475825712        5.5935963886212574E-002           0           0           0
          96           0           1  -3.1218348979915453       0.36584727451850485      -0.88857475385772222                0           0           0
          97           0           1  -2.7776551895157886        1.2786399128584189       -1.3623039272105952                0           0           0
          98           0           1  -2.4224400379902016        1.9890147617935956      -0.76261854696163567                0           0           0
          99           0           1  -2.0103645797513305        1.1643598517969087      -0.68447682807639232                0           0           0
         100           0           1  -1.3449886905141970        1.3181410465531593        2.5739820983428696E-002           0           0           0
         101           0           2  -1.5574084817939933        1.9504843843027191      -0.68808488935521561                0           0           0
         102           0           2  -1.6076424759333707        1.3707477828968617       -1.6006057264933298                0           0           0
         103           0           2  -2.3886793938577466       0.88335811256546470       -1.9329226022157153                0           0           0
         104           0           2  -2.2445496710933845       0.79283498336705682       -2.8477138488043328                0           0           0
         105           0           2  -2.8955162355221922       0.16622640168680891       -2.6027656287726222                0           0           0
         106           0           2  -2.7624080310941093       -7.6739088494395979E-002  -1.7052820643160889                0           0           0
         107           0           2  -3.3203746375922178      -0.90621237289770618       -1.7218383233766703                0           0           0
         108           0           2  -3.0296131663614614       -1.7449095160975265       -1.9027554224806569                0           0           0
         109           0           2  -2.6941771062415931       -2.4409110506507354       -1.6007470203502847                0           0           0
         110           0           2  -2.1350585170884298       -2.0317729725785560       -2.2611548068009708                0           0           0
         111           0           2  -1.7944296152617634       -1.3437411600180833       -1.4489429833643934                0           0           0
         112           0           2  -2.7976648084592197       -1.5938983354816438       -1.1781481570451271                0           0           0
         113           0           2  -3.2180373880137396       -2.2917350906923990      -0.56732215068632752                0           0           0
         114           0           2  -2.3788537558624778       -2.1459408822801023      -0.13809237846038794                0           0           0
         115           0           2  -2.8124470998932782       -2.1580344778195770       0.72795483760929058                0           0           0
         116           0           2  -2.1502202593056445       -1.8743175264857750        1.3723946251269954                0           0           0
         117           0           2  -3.0887370318853158       -1.9009771513264384        1.4226769366856025                0           0           0
         118           0           2  -2.9383202179742396       -1.1103301308263869       0.71550827297330299                0           0           0
         119           0           2  -3.3098237357320870      -0.40796168366839691       0.11107824421364371                0           0           0
         120           0           2  -2.6230348665595842      -0.94641835705763711      -0.53730479702908229                0           0           0
         121           0           2  -1.9618732487551267      -0.29197866886939594      -0.48650010094399504                0           0           0
         122           0           2  -1.4135896017609237      -0.28759887239140514       -1.3309714240253856                0           0           0
         123           0           2  -1.9137622628228317      -0.50856254168537618       -2.1711013100895036                0           0           0
         124           0           2  -1.4659967203379072      -0.20851436020783801       -3.0435038943966175                0           0           0
         125           0           2 -0.50856041577105837        6.7425519091855735E-002  -2.7696473191710931                0           0           0
         126           0           2 -0.83584808244144548        1.4097770248149601E-002  -1.8869858809111033                0           0           0
         127           0           2  -1.2909124786954889       0.76509282693316938       -2.4782949090565967                0           0           0
         128           0           2 -0.99998687390953556       0.50761106379215504       -3.3491339641556785                0           0           0
         129           0           2 -0.83638134176525858      -0.45481587118217859       -3.5807556534821448                0           0           0
         130           0           2 -0.46146767324473237       -1.4818418755199800       -3.2721662660277588                0           0           0
